Occurence Nature condition,,Report,Occurence Nature condition,prediction
OTHER                     ,49859,"['item', '1', 'info', 'only', 'r', 'eng', 'light', 'first', 'attempt', 'weng', 'start', 'single', 'second', 'attempt', 'normal', 'start', 'w', 'switch', 'bothpnoted', 'mx', 'performed', 'ignition', 'system', 'audible', 'test', 'rh', 'engine', 'iaw', 'amm', '740000', 'ops', 'check', 'good', 'audible', 'heard', 'igniters', 'rh', 'enginep']",OTHER                     ,FALSE WARNING             
OTHER                     ,60668,"['aircraft', 'grounded', 'aisle', 'emergency', 'light', '5r', 'door', 'galley', 'damaged', 'replaced', 'aisle', 'light', 'assembly', '5r', 'door', 'per', 'amm', '335105', 'accomplished', 'satisfactory', 'operational', 'check']",OTHER                     ,NO TEST                   
OTHER                     ,50479,"['eng', '1', 'found', 'pneumatic', 'leaks', 'locations', 'e', 'amp', 'k', 'per', 'eo', '1936a088premoved', 'amp', 'replaced', 'leaking', 'packingnbsp', 'bothnbsp', 'locationsnbsp', 'refnbsp', 'mm', '361118404018001nbsp', 'nbspfornbsp', 'o', 'ringnbsp', 'installation', 'procedurenbspp', 'preinstallednbsp', 'tubingnbsp', 'afternbsp', 'retestnbsp', 'pernbsp', 'eo1936a088nbsp', 'nbspno', 'leaks', 'noted', 'p', 'pexp', 'tagnbsp', 'pn', 'bacp11k6p']",OTHER                     ,FLUID LOSS                
WARNING INDICATION        ,98690,"['loss', 'hydraulic', 'sys', 'a', 'replaced', 'nr', '1', 'engine', 'hydraulic', 'pump', 'pressure', 'line', 'per', 'mm291111']",WARNING INDICATION        ,OTHER                     
PARTIAL RPM/PWR LOSS      ,2663,"['aircraft', 'grounded', 'right', 'engine', 'stalled', 'takeoff', 'roll', 'v1', 'aborted', 'takoff', '110', 'knots', 'replaced', 'right', 'engine', 'per', 'job', 'card', '26l40071004']",PARTIAL RPM/PWR LOSS      ,ENGINE STOPPAGE           
OTHER                     ,80066,"['aft', 'lh', 'outside', 'emergency', 'lt', 'inop', '01', 'rrd', 'aft', 'lh', 'side', 'emergency', 'lt', 'battery', 'pack', 'assy', 'ops', 'ck', 'goodref', 'amm', '335106']",OTHER                     ,NO TEST                   
OTHER                     ,13331,"['pda', '3', '14', 'fasteners', 'missing', 'upper', 'wing', 'panel', 'lt', 'mlg', 'panel', '551bt', 'replaced', '14', 'screws', 'panel', '551bt', 'ref', 'amm', '323211400801', '205011910801', 'panel', 'secur']",OTHER                     ,INFLIGHT SEPARATION       
OTHER                     ,22159,"['left', 'hand', 'wing', 'inboard', 'flap', 'assembly', 'outboard', 'forward', 'hinge', 'wing', 'side', 'outboard', 'actuator', 'lug', 'hole', 'corrosion', 'corrosion', 'left', 'hand', 'winginboard', 'flap', 'assembly', 'outboard', 'forward', 'hinge', 'wing', 'side', 'outboard', 'actuator', 'lug', 'hole', 'reworked', 'found', 'within', 'limit', 'per', 'md11', 'cmm574407repair', 'bushing', 'fabricated', 'machining', 'installed', 'per', 'md', '11', 'cmm574407', 'ea15750104702g', 'part', '3', 'step', '1f1', '3', 'title', 'wingsflight', 'surfacesleft', 'hand', 'winginboard', 'flapoutboard', 'forward', 'hinge', 'wing', 'side', 'repair', 'pse5755011', 'inspectionalternate', 'method', 'repair', 'classified', 'major', 'per', 'gmm62', '100wri57508326', 'detail']",OTHER                     ,INFLIGHT SEPARATION       
OTHER                     ,78015,"['fa', 'reports', 'photoluminescent', 'strip', 'coming', 'loose', 'forward', 'cabin', 'removed', 'service', 'resecured', 'loose', 'floor', 'path', 'lighting', 'row', '1ab', 'ref', 'q400', 'amm', '335116400801', 'returned', 'servic']",OTHER                     ,INADEQUATE Q C            
OTHER                     ,25086,"['emergency', 'lighting', 'courier', 'area', 'remains', 'partially', 'illuminated', 'emergency', 'light', 'test', 'passed', 'ane', 'without', 'indication', 'ead', 'deferred', 'emergency', 'lights', 'per', 'mel', '33504', 'dmp', 'cw', 'placard', 'installedrrd', 'emergency', 'battery', 'pwr', 'supply', 'per', 'mm', '335101', 'pg', 'blk', '401', 'ops', 'check', 'per', 'mm', '335101700802', 'ops', 'check', 'normal', 'm746660', 'closed', 'placard', 'remov']",OTHER                     ,NO TEST                   
WARNING INDICATION        ,23392,"['to', 'landing', 'gear', 'would', 'retract', 'eicas', 'lg', 'airgnd', 'fail', 'displayed', 'message', 'appeared', 'following', 'rotation', 'found', 'nlg', 'wow', 'prox', 'switch', 'bad', 'rrd', 'prox', 'switch', 'iaw', 'amm', '326302', 'ts', 'iaw', 'fim', '326300810801a', 'swung', 'gear', 'several', 'times', 'ops', 'check', 'good', 'okay', 'service', 'tim']",WARNING INDICATION        ,NO TEST                   
OTHER                     ,83987,"['fwd', 'galley', 'megaphone', 'battery', 'depleted', '01', 'rr', 'fwd', 'megaphone', 'needed', 'amm', '256400', 'ops', 'chk', 'good']",OTHER                     ,NO TEST                   
WARNING INDICATION        ,26625,"['terrain', 'inoperative', 'windshear', 'inoperative', 'gpws', 'inoperative', 'cruise', 'rr', 'epgws', 'computer', 'ops', 'check', 'sat']",WARNING INDICATION        ,OTHER                     
OTHER                     ,53668,"['aircraft', 'base', 'maintenance', 'lube', 'first', 'officer', 'window', 'trackgears', 'found', 'first', 'officer', 'number', '2', 'window', '90', 'degree', 'gear', 'box', 'worn', 'removed', 'replaced', '90', 'degree', 'gear', 'box', 'number', '2', 'window', 'operates', 'correctly', 'per', 'b777200']",OTHER                     ,OVER TEMP                 
OTHER                     ,81253,"['rh', 'wing', 'exit', 'sign', 'aft', 'light', 'inop', '01', 'relamped', 'rh', 'wing', 'exit', 'sign', 'aft', 'light', 'per', 'amm', '335101', 'ops', 'ck', 'good']",OTHER                     ,NO TEST                   
WARNING INDICATION        ,54978,"['aircraft', 'grounded', 'auto', 'pressurization', 'failed', 'takeoff', 'emergency', 'declared', 'flight', 'returned', 'sjo', 'landing', 'safely', 'replaced', 'cabin', 'pressure', 'controller', '1', 'aala202203282405', '2', 'aala202203285971', 'per', 'amm', '213101400801', 'replaced', 'cabin', 'pressure', 'selector', 'panel', 'p56', 'aala202203285263', 'per', 'amm', '213102400801', 'accomplished', 'satisfactory', 'operational', 'check']",WARNING INDICATION        ,MULTIPLE FAILURE          
WARNING INDICATION        ,95011,"['pilot', 'report03feb2023', 'wo', '17034722', 'climb', 'spoilers', 'annunciation', 'appearsduring', 'climb', 'spoilers', 'annunciation', 'appearsactions', 'taken03feb2023', 'wo', '17034722', 'item', 'deferred', 'dmi', 'wo', '17034722', 'mel', '27610201', 'cat', 'c', 'maintenance', 'procedure', 'performed', '792tsr20230202703feb2023', 'wo', '17034722', 'accordance', 'fim', 'dmcb787a2760f1dua421aa', 'cmcf', 'ground', 'test', '27', 'primary', 'flight', 'control', 'system', 'system', 'test', 'spoilers', 'electric', 'performed', 'passed', 'test', 'flight', 'control', 'maintenance', 'page', '2', 'indications', 'spoiler', '10', 'correct', 'spoiler', 'movement', 'according', 'indication', 'spoilerflap', 'interface', 'inspection', 'performed', 'found', 'damages03f']",WARNING INDICATION        ,OTHER                     
FLT CONT AFFECTED         ,58886,"['aircraft', 'grounded', 'approximately', '3', 'hour', 'mark', 'inflight', 'rudder', 'kicked', '1', 'auto', 'pilot', 'engaged', 'crew', 'disengaged', 'auto', 'pilot', '1', 'engaged', 'auto', 'pilot', '2', 'issues', 'maintenance', 'replaced', '1', 'flight', 'augmentation', 'computer', 'aala202209143521', '2', 'flight', 'augmentation', 'computer', 'aala202209140162', 'per', 'amm', '226634', 'maintenance', 'also', 'replaced', 'rudder', 'trim', 'actuator', 'aala202209148114and', 'accomplished', 'satisfactory', 'operational', 'check', 'per', 'amm', '272251']",FLT CONT AFFECTED         ,OTHER                     
OTHER                     ,4322,"['aircraft', 'base', 'maintenance', 'excessive', 'play', 'bearing', 'hinge', 'arm', '6', 'elevator', 'left', 'horizontal', 'stabilizer', 'replaced', 'hinge', 'arm', '6', 'left', 'horizontal', 'stabilizer', 'iaw', 'amm', '551642400001a']",OTHER                     ,NO TEST                   
WARNING INDICATION        ,61896,"['engine', 'start', 'r', 'aux', 'pitot', 'eicas', 'message', 'aircraft', 'back', 'block', 'grounded', 'maintenance', 'maintenance', 'removed', 'replaced', 'rh', 'aux', 'pitot', 'probe', 'iaw', 'b767', 'amm', '341101', 'ops', 'leak', 'check', 'good', 'removed', 'replaced', 'k243', 'iaw', 'wdm', '303113', 'ops', 'check', 'good', 'ac', 'remains', 'rvsm', 'compliant', 'aircraft', 'returned', 'servic']",WARNING INDICATION        ,AFFECT SYSTEMS            
WARNING INDICATION        ,58417,"['taxi', 'flight', 'attendant', 'reports', '1l', 'door', 'check', 'pressure', 'message', 'flight', 'attendant', 'panel', 'serviced', 'door', 'assist', 'bottle', 'per', 'amm', '521000']",WARNING INDICATION        ,OTHER                     
OTHER                     ,80236,"['left', 'forward', 'overhead', 'bin', 'section', 'emergency', 'light', 'inop', '01', 'removed', 'replaced', 'battery', 'pack', 'left', 'station', '500c7', 'oops', 'checks', 'good', 'per', 'mm', '335106', '02', 'inspection', 'cw', 'rr', 'battery', 'pack', 'left', 'station', '500c7', 'oops', 'checks', 'good', 'per', 'mm', '335106']",OTHER                     ,NO TEST                   
FLUID LOSS                ,14287,"['dehyd', 'due', 'loss', 'b', 'hydraulic', 'system', 'quantityfluid', 'corrective', 'action', 'maintenance', 'replaced', 'alternate', 'brake', 'selector', 'valv']",FLUID LOSS                ,OTHER                     
WARNING INDICATION        ,52659,"['crew', 'reported', 'eicas', 'warning', 'message', 'fuel', '2', 'low', 'level', 'fuel', 'quality', 'normal', 'green', 'lateral', 'trim', 'imbalances', 'right', 'turn', 'divert', 'message', 'went', 'away', 'message', 'reappeared', '3', 'times', 'return', 'currently', 'message', 'mx', 'deferred', 'system', 'awaiting', 'final', 'fix', 'open']",WARNING INDICATION        ,AFFECT SYSTEMS            
WARNING INDICATION        ,96586,"['cabin', 'pressurization', 'issues', 'replaced', 'aft', 'cargo', 'door', 'seal', 'iaw', 'amm', '523218', 'leak', 'checked', 'good']",WARNING INDICATION        ,OTHER                     
OTHER                     ,85987,"['cabin', 'lh', 'overwing', 'exit', 'sidewall', 'light', 'inop', '01', 'removed', 'replaced', 'cabin', 'lh', 'overwing', 'exit', 'sidewall', 'light', 'ref', 'amm', '335104']",OTHER                     ,NO TEST                   
OTHER                     ,28766,"['status', 'msg', 'cabin', 'alt', 'auto', '2ptransferred', 'mddr', '145043', 'mel', '213101a', 'due', '19apr21', 'cat', 'cpp10apr21', 'lp1453888', 'm11', 'cvg', 'removed', 'replaced', '2', 'pressurization', 'controller', 'iaw', 'b767', 'amm', '213102', 'step', 'e', 'operation', 'check', 'good', 'time', 'clears', 'mddr', '145043', 'notified', 'mcc', 'removed', 'placards', 'ti', 'ym', '1208zp']",OTHER                     ,NO WARNING INDICATION     
OTHER                     ,16114,"['ship', '3504', 'oxygen', 'masks', 'seats', '25efg', 'fell', 'out', 'corrective', 'action', 'stowed', 'masks', 'seats', '25efg', 'ref', 'a350', 'amm', '3523', '7685990']",OTHER                     ,FALSE WARNING             
OTHER                     ,6178,"['aircraft', 'grounded', '1l', 'door', 'epas', 'battery', 'green', 'light', 'flashing', 'replaced', 'epas', 'battery', 'new', 'iaw', 'amm', '521120400806002', 'ops', 'check', 'good']",OTHER                     ,NO TEST                   
OTHER                     ,56064,"['aircraft', 'grounded', 'hissing', 'sound', 'inflight', 'lower', 'left', 'corner', 'door', '3l', 'found', 'emergency', 'slide', 'girt', 'bar', 'material', 'overlapping', 'door', 'seal', 'accomplished', 'stowage', 'girt', 'materi']",OTHER                     ,F.O.D.                    
OVER TEMP                 ,26376,"['diverted', 'due', 'duct', '1', 'duct', '2', 'temp', 'cas', 'message', 'crew', 'ran', 'qrh', 'problem', 'didnt', 'clear', 'aircraft', 'landed', 'without', 'incident', 'ksps', 'found', 'ram', 'air', 'valve', 'flapper', 'broken', 'replaced', 'ram', 'air', 'valve', 'iaw', 'phenom', '300', 'amm', '212303', 'ops', 'check', 'satisfactory', 'iaw', 'phenom', '300', 'amm', '212303', 'leaks', 'defects', 'noted', 'pn', '50518030405', 'sn', '0000629691']",OVER TEMP                 ,MULTIPLE FAILURE          
OTHER                     ,66497,"['fl380', 'r', 'eng', 'ovht', 'eicas', 'reduced', 'pwr', 'half', 'shut', 'eng', 'bld', 'valve', 'w', 'eff', 'ect', 'went', 'idle', 'w', 'rt', 'th', 'ts', 'progress']",OTHER                     ,WARNING INDICATION        
OTHER                     ,4376,"['aircraft', 'grounded', 'emergency', 'overhead', 'light', 'inoperative', 'seat', '32def', 'reactivated', 'emergency', 'light', 'iaw', 'awdw', '335114', 'ops', 'check', 'good']",OTHER                     ,NO TEST                   
OTHER                     ,39539,"['corrosion', 'forward', 'entry', 'door', 'forward', 'girt', 'bar', 'fitting', 'support', 'bs', '312', 'lbl', '55', 'wl', '2081', '01', 'removed', 'fwd', 'entry', 'door', 'fwd', 'girt', 'bar', 'fitting', 'support', 'bs', '312', 'lbl', '55', 'wl', '2081', 'iaw', 'srm', '514002', 'srm', '511002', 'item', '9c', 'must', 'repaired', 'replacement', 'entries', 'srm', 'allowable', 'damage', '02', 'updated', 'measurements', '03', 'installed', 'new', 'fwd', 'girt', 'bar', 'fitting', 'support', 'fwd', 'entry', 'door', 'bs', '312', 'lbl', '55', 'wl', '2081', 'iaw', '5140020g0', 'ipc', '53420029', '04', 'verified', 'maintenance', 'steps', 'complete', '05', 'installed', 'new', 'fwd', 'girt', 'bar', 'fitting', 'support', 'fwd', 'entry', 'door', 'bs', '312', 'lbl', '55', 'wl', '2081', 'iaw', 'srm', '5140020g0', 'ipc', '53420029', '06', 'verified', 'action', '5']",OTHER                     ,F.O.D.                    
OTHER                     ,2719,"['aircraft', 'base', 'maintenance', 'corrosion', 'zchannel', 'sta', '991', 'sta', '993', 'rbl', '32', 'measuring', 'l005', 'in', 'w10', 'in', 'd016', 'in', 'replaced', 'zchannel', 'new', 'iaw', 'aard', '5100051']",OTHER                     ,NO TEST                   
OTHER                     ,95820,"['aft', 'door', 'left', 'side', 'lower', 'exit', 'identifier', 'inop', 'performed', 'trouble', 'shooting', 'replaced', 'm1561', 'power', 'supply', 'test', 'power', 'supply', 'm1561', 'found', 'pass', 'per', 'fim', '3351', 'fault', 'tree', '812', 'rev', '138', 'amm', '335107402010', 'rev', '138']",OTHER                     ,NO TEST                   
OTHER                     ,3348,"['aircraft', 'grounded', 'emergency', 'floor', 'lighting', 'inoperative', 'closet', 'near', '1l', 'door', 'replaced', 'light', 'assembly', 'new', 'iaw', 'amm', '335105', 'ops', 'check', 'good']",OTHER                     ,NO TEST                   
OTHER                     ,63976,"['eng', '2', 'fire', 'detection', 'loop', 'b', 'inop', 'grounded', 'yes', 'replaced', 'core', 'fire', 'detection', 'harness', 'mw0326', 'eng', '2', 'ref', 'b737900', 'amm', '261102400802', 'operational', 'test', 'ok', 'ref', 'amm', '261100710801']",OTHER                     ,FLAME/FIRE                
NO TEST                   ,14863,"['ship', '3240', 'dont', 'pass', 'operational', 'test', 'passenger', 'crew', 'door', '842', 'door', 'damper', 'cylinde', 'r', 'aft', 'galley', 'area', 'corrective', 'action', 'replaced', 'door', 'damper', 'passenger', 'crew', 'door', '842', 'per', 'a320', 'fam', 'amm', '5213', '1722263']",NO TEST                   ,OTHER                     
OTHER                     ,54154,"['aircraft', 'base', 'maintenance', 'corrosion', 'intercostal', 'sta', '947', 'sta', '967', 'rbl', '23', 'measuring', 'l10', 'in', 'w10', 'in', 'd0013', 'in', 'replaced', 'intercostal', 'new', 'iaw', 'aard', '5100051']",OTHER                     ,NO TEST                   
WARNING INDICATION        ,25885,"['inspection', 'typenaduring', 'pdc', 'found', 'multiple', 'cargo', 'smoke', 'detection', 'faultsrr', 'mawea', 'power', 'supply', 'ymxa020', 'per', 'amm', '315101', 'pb', '401', 'rev', '10200', 'test', 'ok', 'pn', 'offon', '285t0035202', 'sn', 'off', 'd05495', 'sn', 'on', 'd04587', 'eff', 'ref', 'ipc', '31510101', 'item', '005l']",WARNING INDICATION        ,MULTIPLE FAILURE          
OTHER                     ,7570,"['aircraft', 'grounded', 'window', 'shade', 'stuck', 'closed', 'position', '16a', 'emergency', 'exit', 'supplemental', 'report', 'replaced', 'window', 'shade', 'new', 'iaw', 'amm', '522251', 'ops', 'check', 'good', 'clos']",OTHER                     ,OVER TEMP                 
OTHER                     ,76146,"['2', 'pylon', 'internal', 'frame', 'cracked', 'upper', 'ib', 'fastener', 'hole', 'ob', 'side', 'pylon', 'aft', 'pnl', '446ar']",OTHER                     ,INFLIGHT SEPARATION       
OTHER                     ,14812,"['ship', '6704', 'emergency', 'seat', 'lights', 'row', '18', 'inoperative', 'corrective', 'action', 'maintenance', 'replaced', 'mounted', 'light', 'assembly', 'system', 'operation', 'normal', 'lp', '7505036']",OTHER                     ,NO WARNING INDICATION     
OTHER                     ,5199,"['aircraft', 'base', 'maintenance', 'left', 'elevator', '6', 'hinge', 'excessive', 'play', 'wear', 'left', 'hand', 'horizontal', 'stabilizer', 'replaced', 'hinge', 'fitting', 'per', 'amm', '551642']",OTHER                     ,NO TEST                   
OTHER                     ,78070,"['carpetemer', 'light', 'strip', 'lifting', 'near', 'row', '20ab', 'removed', 'service', 'secured', 'returned', 'servic']",OTHER                     ,INADEQUATE Q C            
WARNING INDICATION        ,58115,"['aircraft', 'grounded', 'cruise', 'fl', '340', 'smoke', 'detector', 'aural', 'alert', 'momentarily', 'smoke', 'found', 'lavatories', 'maintenance', 'accomplished', 'satisfactory', 'operational', 'check', 'lavatory', 'smoke', 'detection', 'system', 'faults', 'not']",WARNING INDICATION        ,OTHER                     
OTHER                     ,84972,"['r1', 'slide', 'case', 'missing', 'rh', 'inboard', 'rivet', 'girt', 'bar', 'craddle', '01', 'complied', 'ea2212501764', 'tld', 'permanent', 'repair', 'due', '10', 'days', 'installed', 'four', 'loops', '032', 'stainless', 'steel', 'safety', 'wir']",OTHER                     ,F.O.D.                    
WARNING INDICATION        ,91132,"['number', '2', 'leading', 'edge', 'flap', 'retract', 'cleanup', 'qrh', 'followed', 'roll', 'noted', 'divert', 'bwi', 'troubleshot', 'iaw', 'fim', '2788', 'task', '806', 'r', 'r', 'nr', '2', 'le', 'flap', 'extend', 'proximity', 'sensor', 's171', 'iaw', 'amm', '278811', 'ops', 'tested', 'good']",WARNING INDICATION        ,FALSE WARNING             
OTHER                     ,37916,"['r1', 'floor', 'proximity', 'emergency', 'light', 'lens', 'unreadable', '01', 'rr', 'r1', 'floor', 'proximity', 'emergency', 'light', 'lens', 'iaw', 'amm', '335114']",OTHER                     ,NO TEST                   
OTHER                     ,98047,"['cockpit', 'ovhd', 'emer', 'lt', 'inoprr', 'cockit', 'emergency', 'led', 'light', 'power', 'assembl']",OTHER                     ,NO TEST                   
FALSE WARNING             ,9013,"['aircraft', 'grounded', 'lavatory', 'smoke', 'light', 'illuminated', '2', '3', 'minutes', 'extinguished', 'suspect', 'passenger', 'vaping', 'accomplished', 'lavatory', 'smoke', 'detecting', 'self', 'test', 'per', 'amm', '261400501', 'operational', 'checks', 'good']",FALSE WARNING             ,NO TEST                   
OTHER                     ,59701,"['aircraft', 'base', 'maintenance', 'corrosion', 'web', 'located', 'aft', 'cargo', 'compartment', 'door', 'bs', '800', 'bs', '847', 's25r', 'replaced', 'web', 'per', 'aard', '5100051', 'dwg', '146a8120']",OTHER                     ,NO TEST                   
OTHER                     ,3425,"['aircraft', 'grounded', 'flashlight', 'flight', 'attendant', 'crew', 'rest', 'bunk', 'doghouse', 'charged', 'chargingtest', 'button', 'pushed', 'light', 'flash', 'replaced', 'flashlight', 'cradle', 'accomplished', 'operations', 'check', 'per', 'amm', '256401']",OTHER                     ,NO TEST                   
FALSE WARNING             ,26491,"['baggage', 'comp', 'fire', 'ext', 'warning', 'illuminated', 'eicas', 'message', 'rr', 'high', 'rate', 'metering', 'baggage', 'fire', 'bottles', 'rr', 'cargo', 'smoke', 'detector', 'ops', 'check', 'completed', 'verified', 'baggage', 'ext', 'light', 'extinguished', 'ops', 'check', 'faults', 'found']",FALSE WARNING             ,FLAME/FIRE                
WARNING INDICATION        ,6439,"['aircraft', 'grounded', 'forward', 'lavatory', 'smoke', 'alarm', 'activated', 'inflight', '5', 'seconds', 'evidence', 'smokevaping', 'found', 'accomplished', 'operations', 'check', 'forward', 'lavatory', 'smoke', 'detector', 'per', 'tsm', '261700']",WARNING INDICATION        ,FALSE WARNING             
OTHER                     ,31324,"['8', 'right', 'hand', 'cabin', 'emergency', 'exit', 'floor', 'light', 'escutcheon', 'brokencacompleteinstalled', 'new', 'floor', 'sidewall', 'extrusion', 'iaw', 'emb145', 'amm', '335012']",OTHER                     ,NO TEST                   
OTHER                     ,56537,"['aircraft', 'grounded', 'seat', '31c', 'light', 'lens', 'shroud', 'loose', 'replaced', 'light', 'lens', 'shroud', 'assembly', 'per', 'amm', '335111960802', 'operational', 'check', 'good']",OTHER                     ,NO TEST                   
OTHER                     ,90306,"['foward', 'service', 'door', 'girt', 'bar', 'lock', 'place', 'stow', 'position', '01', 'performed', 'escape', 'slide', 'girt', 'bar', 'installation', 'defects', 'noted', 'iaw', 'amm', '256601', 'ac', 'ok', 'svc']",OTHER                     ,F.O.D.                    
OVER TEMP                 ,64180,"['apu', 'reports', 'show', 'rise', 'ct5atp', 'temp', 'surpassed', '605', 'degree', 'threshold', 'pri2etops', 'grounded', 'yes', 'replaced', 'apu', 'wo', '1928869']",OVER TEMP                 ,NO WARNING INDICATION     
OTHER                     ,54831,"['aircraft', 'base', 'maintenance', 'ceiling', 'panel', 'emergency', 'light', 'connector', '204wla', 'broken', 'back', 'shell', 'replaced', 'back', 'shell', 'per', 'espm', '203345', 'amm', '335111400001a']",OTHER                     ,NO TEST                   
OTHER                     ,61586,"['aircraft', 'base', 'maintenance', 'corrosion', 'right', 'wing', 'slat', 'track', '4', 'lower', 'excentric', 'bolt', 'maintenance', 'replaced', 'bolt', 'per', 'amm', '278463']",OTHER                     ,NO TEST                   
NO TEST                   ,55634,"['aircraft', 'base', 'maintenance', 'wing', 'escape', 'slide', 'compartment', 'door', 'getting', 'eicas', 'advisory', 'status', 'messages', 'test', 'replaced', 'ground', 'block', 'gb46202', 'aala202204220902', 'offwing', 'escape', 'slide', 'door', 'proximity', 'switch', 's52212', 'aala202204226283', 'operational', 'check', 'good', 'eicas', 'advisory', 'status', 'messages', 'cleared', 'per', 'srm', '514002', 'swpm', '202003', 'amm', '527103']",NO TEST                   ,OTHER                     
WARNING INDICATION        ,52354,"['flt', '608', 'lasfll', 'chapter', '5', 'inspection', 'required', 'due', '2', 'tire', 'burst', 'accomplished', 'chapter', '5', 'tire', 'burst', 'inspection', 'ref', 'amm', '055115', 'defects', 'noted', 'time', 'acis', 'okay', 'continue', 'svc', 'rr', '1', 'mlg', 'brake', 'assy', 'ref', 'amm', '324227', 'ops', 'leak', 'chk', 'good', 'tim']",WARNING INDICATION        ,OTHER                     
OTHER                     ,27854,"['nose', 'landing', 'gear', 'lh', 'door', 'assembly', 'found', 'erosion', 'damage', 'aft', 'edge', 'previously', 'trimmed', 'away', 'performed', 'permanent', 'repair', 'aiw', 'crj', '528102001001a01530000201002a01', 'ea', '122021161']",OTHER                     ,INADEQUATE Q C            
OTHER                     ,37169,"['crew', 'reports', 'aft', 'left', 'outboard', 'emergency', 'flashlight', 'wont', 'test', 'cabin', 'emergency', 'flashlight', 'holdersflashlights', 'removed', 'replaced', 'aft', 'elft', 'emergency', 'flashlight', 'battery', 'pack', 'ref', 'amm', '256400', 'ops', 'check', 'good', 'clears', 'mel', '251201', 'auth', '113405', 'cl', '91095']",OTHER                     ,INFLIGHT SEPARATION       
